"site","lon","lat","fips","can","imp","medianIncome","hDensity","age","eduHS","eduC","marred"
"BALASUCMD1",-76.9541990076624,39.0064682611147,"24033807301",65.48449142,14.83659224,61146,0.000927946994909713,27.8,0.174581005586592,0.173184357541899,0.411591355599214
"BARBJERMD1",-76.4631086824912,39.113122209328,"24003731303",38.09019673,14.53846335,107517,0.000375665121876874,46.4,0.292886178861789,0.26239837398374,0.69937106918239
"BEALTOMMD1",-76.7946731097776,38.974053618914,"24033800408",65.96875845,8.157654453,109022,0.000645840821377436,37.3,0.203485633537447,0.274846914743288,0.53516933382955
"BLOCDAVMD1",-77.0045115539156,38.975700455311,"24031701701",52.86125445,18.61439418,71958,0.00346310674188683,42.7,0.146746065504041,0.233943002977456,0.441256300891819
"BRIGKIMMD1",-76.5480222494896,39.1266584026691,"24003731204",6.773998588,47.5602789,83274,0.000529413403478437,33.5,0.359284731774415,0.172764786795048,0.546155590836924
"BROWANNDC1",-77.0533363721153,38.9000573371157,"11001005600",0.098821132,73.30393319,64446,0.0132550119078601,27.7,0.039090657055725,0.323814804546715,0.151646158962421
"BROWANNMD1",-76.4850169465092,38.9625652431145,"24003706302",10.17267325,6.921703622,86964,0.00240920710054225,52.9,0.0921938088829071,0.417900403768506,0.508565989847716
"BUISNORVA1",-77.264378567856,38.7415669519317,"51059492202",74.63208501,3.421736318,183547,0.00117273892750162,44.7,0.08834628190899,0.313429522752497,0.723733233979136
"BURDROBVA1",-77.4181144800985,38.8651568521348,"51059491502",18.32253748,26.95895614,187222,0.00118148080655065,40,0.0828941063727839,0.333732630570196,0.717146671752813
"CAMPGLOMD1",-76.9287883268322,39.0623673050514,"24033807407",43.02058961,10.51684714,86815,0.00107872519711002,32.6,0.175945501526897,0.289405684754522,0.474068231118123
"CAMPROSMD1",-77.0225525837239,39.0141959067996,"24031702302",68.94950162,6.690999457,73367,0.00281705078839913,35.2,0.118144888287068,0.22241029113067,0.489185185185185
"CLARCOLDC1",-77.0475359868677,38.9197025156491,"11001004001",2.679418486,63.33814942,106227,0.0130268057962465,38.4,0.0159415476585852,0.398206575888409,0.29537802265075
"COLSKATMD1",-76.8442151599822,39.1565321514856,"24027606804",55.65338119,14.05393675,114271,0.00108348812126646,38.3,0.0740578439964943,0.312007011393514,0.650256006301694
"EGANMARMD1",-77.1096766185884,38.947608369891,"24031705702",25.89846216,29.23324761,173646,0.00179392454304891,46.3,0.0304434149569821,0.271674387822634,0.664333624963546
"FARYSIMMD1",-77.0176992560151,38.9889073104869,"24031702401",20.51843583,37.24653924,128882,0.00264519948814912,42.7,0.0581005586592179,0.219553072625698,0.593333333333333
"FISHFERVA1",-77.1318150347701,38.9128232508679,"51013100300",33.96080522,16.41336765,226645,0.00139001772894157,41.5,0.0359544749094671,0.300310398344542,0.611813512445674
"GECACARVA1",-77.1225716009195,38.8847537966433,"51013100700",27.43229868,26.20836622,88533,0.00315145965396496,35.5,0.0772122614227877,0.318392134181608,0.555088088351302
"JACOMERMD1",-77.2043849507613,39.084150839967,"24031701221",18.71693432,35.1344684,123643,0.00158077797274686,40.4,0.0490730643402399,0.328971283169756,0.606440071556351
"KESTSABDC1",-77.0470599057996,38.9228013855518,"11001004001",17.81358612,46.01769004,106227,0.0130268057962465,38.4,0.0159415476585852,0.398206575888409,0.29537802265075
"KEYESUSMD1",-77.3079232199463,39.0903092861997,"24031700604",64.01294036,1.348740725,172627,0.000157804327226614,45.6,0.0717308506136267,0.33283961066441,0.745252253980433
"LANDCELVA1",-77.2409740980646,38.8821441310748,"51059460600",38.44345769,16.06148664,151932,0.00145924514082316,41.3,0.108164689462666,0.31297976273552,0.59219968798752
"LEONTESDC1",-77.0569116510095,38.934828003419,"11001001302",9.400422031,58.55267795,84758,0.0047934846278881,35.2,0.0306997039114851,0.305750350631136,0.293337019629527
"MANNJANDC1",-77.0575403477092,38.9725246018463,"11001001500",60.19210468,6.894112475,193233,0.0012943166355961,46.7,0.0194444444444444,0.299305555555556,0.651242502142245
"MCDOELIVA1",-77.0787779794571,38.7929788624742,"51059420600",18.54713354,33.98009568,92292,0.00325951393315165,35.9,0.241610738255034,0.201342281879195,0.470069966312516
"MOLIKARMD1",-76.5350809983348,38.7039618017231,"24009860401",8.527011599,36.94675413,85139,0.000540981780101032,36.5,0.313790386130812,0.18408195429472,0.507870430597112
"MORRCHRVA1",-77.2989499001777,39.0361218098143,"51059480100",40.52244712,0.253957472,237656,0.000122611807140638,48.1,0.0677910052910053,0.306547619047619,0.663575042158516
"MOSMCARMD1",-76.46771668999,39.0927183697406,"24003731202",28.26881615,8.649559101,95029,0.000406236300174248,46.7,0.266490228013029,0.164698697068404,0.67585601404741
"NEWBCARVA1",-77.3272162411491,38.8893852637741,"51059461201",92.1379243,0.000842028,191471,0.00045242590414026,45.3,0.064797507788162,0.345482866043614,0.755102040816326
"ONTAHOUDC1",-77.0425825905497,38.9255468779107,"11001003900",3.203243752,57.91625032,76563,0.0115004870856481,34,0.0504563894523327,0.393255578093306,0.251689189189189
"PADORAMVA1",-77.1034207503836,38.7852933604881,"51059420700",47.60664292,15.11515326,103071,0.00136285880455225,39.6,0.189002036659878,0.267209775967413,0.631733594515181
"PERRCHRMD1",-76.5480020347082,39.0104043301862,"24003702702",98.61435002,0,133846,0.000268309211794368,50.9,0.0986290936785986,0.297791317593298,0.733575437438098
"PHARAIMMD1",-76.4700864231309,39.0174585594387,"24003730902",83.85746467,0.654714774,133333,0.000234863872589481,43.9,0.157303370786517,0.242375601926164,0.619517171030262
"PIROELADC1",-77.0823761439404,38.9574333758481,"11001001100",14.99615988,47.63817169,121250,0.00254804119333263,47.5,0.0477216748768473,0.302339901477833,0.488985586075605
"REITBOBMD1",-77.0205170238247,38.9942105859503,"24031702402",26.15622598,20.05853178,67908,0.00443799863988456,35.6,0.132530120481928,0.247305009511731,0.354504756575266
"ROHRSALMD1",-76.5534926215145,38.8599418467417,"24003701400",61.16224778,0.463756779,125304,6.49996626657194e-05,47.8,0.292210359826018,0.145907473309609,0.530943523841731
"SALOSHEMD1",-76.9210627714955,38.9272682853083,"24033804200",44.62693072,19.82525979,1e+05,0.00121031174189908,43.8,0.162003610108303,0.254512635379061,0.476020610384463
"SCHLROBMD1",-76.8180577266688,39.3349910870118,"24005402202",60.11733485,0,112813,7.54482264288014e-05,45.1,0.179076343072573,0.270499528746466,0.677873338545739
"SILLSCOMD1",-76.9916708940604,38.986237126623,"24031701703",18.83333056,36.37380132,82986,0.00337644811805869,34.9,0.20677146311971,0.169286577992745,0.502449265220434
"STANJEFMD1",-77.0684569247117,38.9771970222736,"24031705200",63.17800932,3.963088948,240568,0.0018166108287384,44.3,0.024652622142537,0.248319139399372,0.710852713178295
"STEWBETMD1",-76.9858815872099,39.0830059795057,"24031701415",43.13767455,10.65494417,97955,0.00106238531387353,44.1,0.149115913555992,0.247937131630648,0.531874704863844
"STUECHRVA2",-77.1659731557755,38.9177084431297,"51059470700",34.6713384,20.95810204,163466,0.00157955072378179,42.7,0.0561279826464208,0.364425162689805,0.636871508379888
"STURCARMD1",-76.8734802465547,39.0030714340265,"24033806708",52.33907446,34.19656587,49804,0.00177545572009475,37.9,0.230957479351484,0.213215050474151,0.316078431372549
"TATEJUAMD1",-76.5658336701947,38.9653292292578,"24003702402",41.28186902,15.26069222,97481,0.000494249450739073,49,0.152725094829307,0.294669594729487,0.573143285821455
"VERSBETMD1",-76.5975293813626,38.7227781827962,"24003708001",7.6317253,2.339798149,93438,8.73524339187549e-05,46.3,0.285494420931127,0.156983455175067,0.580520732883317
"VONGJENMD1",-77.1313422998469,39.0098526330768,"24031704502",39.74295739,17.46857133,184500,0.00124994246183618,44.3,0.0552423900789177,0.294813979706877,0.71105527638191
"WILLTERMD1",-76.9176544071728,38.930063504868,"24033804200",27.76305275,36.48290231,1e+05,0.00121031174189908,43.8,0.162003610108303,0.254512635379061,0.476020610384463
"ZAMBTRAMD1",-77.0750031602788,38.9827751648912,"24031705100",38.9206214,17.42568587,173092,0.00151775726292608,45.7,0.0310593455352191,0.309206877426511,0.625303545410393
"GERYERIMD1",-77.118616,38.999316,"24031704600",21.482,32.225,146116,0.00278758506854264,40,0.0567010309278351,0.333906071019473,0.621166415284062
"MISSEDDC1",-76.996958,38.883588,"11001007000",2.36,61.429,110192,0.00606115005952493,34.3,0.0758104738154613,0.351122194513716,0.360669456066946
"OBRICHRMD1",-76.924433,39.013183,"24033806900",29.381,26.456,74977,0.00233923854114035,36,0.246992481203008,0.211278195488722,0.413595166163142
"OLONMARDC1",-77.0839,38.949,"11001001001",26.327,29.959,161450,0.00325784525072085,38.2,0.0371225235622235,0.286593575687632,0.532118737238888
"WOLFAMYDC1",-77.043167,38.918567,"11001004002",0,81.033,89868,0.0123642525223999,34.6,0.0436639772187945,0.390128144280968,0.254725085910653
"WOLFKARDC1",-77.0618,38.941583,"11001001302",5.22,48.631,84758,0.0047934846278881,35.2,0.0306997039114851,0.305750350631136,0.293337019629527
