site,X,Y,can,imp
ANDRKENVA1,296758,4310941,85.57555669,0.628735206
ASSMCARMD1,321859,4317219,84.15698348,1.582665889
BAINANDMD1,322188,4318117,26.95459406,21.44013639
BALASUCMD1,330791,4319311,65.48449142,14.83659224
BARBJERMD1,373506,4330349,38.09019673,14.53846335
BARNDORMD1,326629,4315797,61.86681463,13.91393636
BEALTOMMD1,344534,4315429,65.96875845,8.157654453
BLANBETMD1,366415,4329594,55.45662473,10.92658228
BLOCDAVMD1,326359,4315991,52.86125445,18.61439418
BOONGREMD1,360143,4360156,27.3674265,20.48868907
BRENSTEMD1,326086,4279059,46.66986527,7.326108609
BRIGKIMMD1,366190,4331973,6.773998588,47.5602789
BROWANNDC1,321940,4307690,0.098821132,73.30393319
BROWANNMD1,371339,4313671,10.17267325,6.921703622
BUISNORVA1,303201,4290533,74.63208501,3.421736318
BURDROBVA1,290201,4304592,18.32253748,26.95895614
BURNNANMD1,402220,4287691,25.7946943,2.079571435
CAMPGLOMD1,333123,4325468,43.02058961,10.51684714
CAMPLIBMD1,324029,4282747,89.90910556,1.132121202
CAMPROSMD1,324891,4320298,68.94950162,6.690999457
CANTBOBMD1,307080,4318854,60.20024443,0.895279915
CARLSHIMD1,363189,4361832,36.95940281,19.18347723
CAUSSUSMD1,312486,4351978,31.4479791,0.305257837
CLARCOLDC1,322492,4309859,2.679418486,63.33814942
CLARKELMD1,362946,4316445,38.62684048,12.53757296
COLALISMD1,328264,4353010,5.998340228,0
COLSKATMD1,340653,4335767,55.65338119,14.05393675
CONAGAIMD1,341753,4354667,81.68103579,0
CORCLINMD2,347089,4347872,44.84896889,15.03307318
COULMARMD1,362323,4328154,54.39165912,6.447018908
CRONCHRVA1,295136,4277318,57.90964598,9.959564598
DALEELIMD1,364049,4393717,46.92197915,0
DANIBARMD2,345870,4348925,48.05426731,16.706393
DAVIALIVA1,318180,4307590,55.28502703,9.430562294
DAVIKELVA1,282182,4260217,27.25992328,0.026484412
DECHKIMMD2,361512,4322595,90.20717892,1.426978112
DELUKARVA1,312606,4308514,52.02685147,4.758247103
DONOLORDC1,323987,4308910,0,78.34852115
EDEREDWVA1,321702,4287660,45.84783956,11.27784559
EGANMARMD1,317176,4313079,25.89846216,29.23324761
EGGELESVA1,313913,4304024,36.60406269,14.63173332
EVANMICMD1,315292,4325354,64.5661824,7.48205994
FAGABERMD1,325019,4317084,48.12450907,16.1162438
FARYSIMMD1,325249,4317482,20.51843583,37.24653924
FISHFERVA1,315167,4309263,33.96080522,16.41336765
FOOSDAVVA1,315121,4307952,49.93375575,9.307893124
FORCBREVA1,291707,4282855,2.455592978,18.16481503
FREYFREMD1,356342,4359878,33.19018105,3.625232352
FUISLISDC1,321622,4308700,3.508244925,59.84243079
GAETHEAMD1,344743,4349402,27.45076161,22.5467795
GALLMONVA1,300438,4287336,89.48835297,0.081173589
GALLTERMD1,366897,4324695,87.34133775,0.056048045
GARDVALMD1,361716,4327886,59.54247311,1.549113538
GECACARVA1,315896,4306129,27.43229868,26.20836622
GELLHERMD1,338496,4293955,50.06620473,13.75071912
GERYERIMD1,316503,4318818,21.48244162,32.2251853
GIESALYVA1,312544,4310499,39.59653945,22.98080611
GIRAANGMD1,307091,4341996,53.49905913,15.47284074
GOCHJOAMD1,364368,4390314,17.40134691,0
GOMEKARMD1,363034,4327992,60.09473113,7.494329123
GOROCARDC1,321929,4316095,68.34833147,4.292882931
GRIFBETDC1,321627,4316071,71.9022097,2.788385881
HAMIMARMD1,376028,4319064,62.72233059,0.255929279
HAWNJANVA1,315054,4303270,35.94834056,15.29088035
HESSSETVA1,317900,4305782,10.46692576,42.21235498
HITCBJMD1,344359,4330586,29.42770688,17.21242859
HOROBONVA1,297350,4309154,85.47439867,0
HULLJEFVA1,320296,4299607,40.96394141,15.48793494
HUNTDAVMD2,326332,4316616,66.7849915,6.971539796
HUTCBARVA1,317689,4286217,38.86409526,15.92979825
JACKALADC1,329772,4303603,20.66634014,29.19421466
JACOAMYMD1,426034,4298423,25.39952194,1.274720462
JACOMERMD1,309335,4328428,18.71693432,35.1344684
JACOSYDMD1,329657,4320382,38.36618904,20.00020021
JAKOELVVA1,318367,4292866,48.00980365,9.858704585
JEWELIBMD1,317644,4314185,54.18203079,12.23708286
KAMILEIVA1,314592,4303323,35.62034428,24.0160075
KESTSABDC1,322541,4310202,17.81358612,46.01769004
KEYESUSMD1,300396,4329334,64.01294036,1.348740725
KINDFAPMD1,362655,4328893,53.525158,0.28389331
KNIGSALVA1,297302,4250319,93.99609537,0
KORRHARMD1,349757,4348779,41.80755496,9.753951621
KRAMPAUMD1,385120,4396757,50.22017079,6.07900495
LAFMELVA1,312830,4307425,24.28153227,29.12494068
LANDCELVA1,305618,4306085,38.44345769,16.06148664
LANGANKVA1,300710,4312145,84.56485818,3.100548097
LEONTESDC1,321717,4311556,9.400422031,58.55267795
LIEBJUDMD1,317662,4314154,47.94180005,14.31421664
LINDHANMD1,319424,4316589,67.74862496,2.315635377
LUCAJILMD1,317377,4313240,48.43288922,10.58528919
LUCIDANMD1,369273,4317037,30.34175541,3.831802749
LYONLYNVA1,289140,4298888,22.19011205,25.58229864
MAHOJIMMD1,366283,4294677,65.7612589,0
MANNJANDC1,321757,4315741,60.19210468,6.894112475
MARRPETMD2,326497,4315867,46.64303116,21.44848992
MAZUJENMD1,326871,4335359,87.87059113,0.946898391
MCCAKEVMD1,337303,4341502,35.12367322,13.56589589
MCCOCHRMD1,323067,4357548,2.383809553,0
MCCOJOHMD1,333537,4337917,14.54729542,0.804308296
MCDOELIVA1,319463,4295856,18.54713354,33.98009568
MCNAKRIMD1,318162,4314273,46.68446678,12.24546856
MEGOPATMD2,356057,4289950,93.00390211,0
MILLJOEMD1,360962,4328905,46.30145153,14.75618881
MILLLORVA1,275291,4303347,42.15297083,0
MILLPAUMD1,370113,4317083,21.24103276,17.85818517
MISSEDDC1,326798,4305714,2.360265253,61.42856155
MOLIKARMD1,366519,4285044,8.527011599,36.94675413
MORAANGMD1,340223,4352207,32.8050765,5.736476184
MORRCHRVA1,301020,4323300,40.52244712,0.253957472
MORRJESMD1,326225,4318105,55.33587484,9.401036543
MOSMCARMD1,373071,4328091,28.26881615,8.649559101
MULLJOYVA1,296509,4284721,63.19174677,3.47E-07
MUTRCYNMD2,307474,4317443,25.44126579,20.43038795
MYERBRUMD1,328276,4321418,55.19806449,8.725500652
NAYLMICMD2,344214,4352480,32.50878368,1.655834408
NEWBCARVA1,298157,4307076,92.1379243,0.000842028
NICHALIMD1,364362,4317613,66.43716362,2.783629189
OBRICHRMD1,333384,4320030,29.38057385,26.45563774
ODELVINMD2,366617,4327521,90.02316103,0.704427585
OLONMARDC1,319387,4313174,26.32744073,29.95876024
OMLAKEVMD1,349440,4286442,45.15685372,0
ONTAHOUDC1,322936,4310498,3.203243752,57.91625032
OWENDORVA1,291814,4302649,32.1710631,17.64838573
OWENJOHMD1,347921,4351480,11.58909768,18.68507375
PADORAMVA1,317303,4295052,47.60664292,15.11515326
PATSNADMD1,355230,4359677,13.59141357,33.80858844
PATTDAVMD1,363582,4349986,0.190508436,3.958908764
PERNMIKMD1,324265,4354263,84.41288656,0
PERRCHRMD1,365972,4319071,98.61435002,0
PHARAIMMD1,372731,4319742,83.85746467,0.654714774
PHELCLADC1,322012,4317015,26.13426678,25.48544671
PICKMARMD1,403283,4302440,81.71554363,0
PIROELADC1,319567,4314115,14.99615988,47.63817169
RAUNERIMD1,322425,4318439,24.59637514,26.7370503
RCP_SMBDC1,322518,4310510,55.98291227,8.724160087
REIKROBMD1,325095,4346372,47.38346355,0
REITBOBMD1,325018,4318076,26.15622598,20.05853178
REUTSHAMD1,359858,4349518,0,76.31685547
ROHRSALMD1,365212,4302381,61.16224778,0.463756779
ROTHPAUVA1,305970,4306831,34.92553858,12.17669574
RUSSJODMD1,338000,4335079,36.04148697,7.121773045
SALAJENMD1,311349,4326517,35.0728457,19.26997168
SALOSHEMD1,333475,4310460,44.62693072,19.82525979
SANFCARMD1,337719,4291768,65.16231369,4.114732694
SARGMARMD1,321825,4318253,48.78116745,14.45504671
SCHIMARMD1,317657,4330658,87.02215813,1.903996474
SCHLROBMD1,343311,4355528,60.11733485,0
SHAYSARMD1,357464,4340898,28.28864386,22.39095773
SHEEM.AMD1,331149,4314199,30.64845518,35.04978636
SILLSCOMD1,327497,4317136,18.83333056,36.37380132
SINGDADMD1,311032,4342440,4.310364074,0.460874871
SOLIAPRMD1,345773,4252896,15.7453168,0.108315702
SOLLCHRMD1,314443,4316070,71.35550341,4.540594746
SPEYPAUMD1,369488,4317583,47.97425445,4.222883357
STANJEFMD1,320823,4316281,63.17800932,3.963088948
STEWBETMD1,328233,4327865,43.13767455,10.65494417
STORPATMD1,337776,4343528,66.99783737,3.592852311
STUECHRVA1,312086,4309456,30.8725566,19.26188809
STUECHRVA2,312218,4309875,34.6713384,20.95810204
STURCARMD1,337773,4318787,52.33907446,34.19656587
SUBRSTEMD1,325496,4319004,75.03719503,3.386990995
SULLPAUVA1,317130,4299258,23.43987874,30.33154563
TATEJUAMD1,364342,4314095,41.28186902,15.26069222
TAYLELEVA1,316724,4308654,48.614775,8.695687282
THOMMARDC1,319274,4312772,23.97656584,26.255259
THOMSUSMD1,366757,4319339,97.12184844,0
TINIKATMD1,327767,4334258,47.3075021,3.895883609
TRAUPATVA1,300485,4319235,89.32393569,0.60139117
VERSBETMD1,361125,4287225,7.6317253,2.339798149
VONGJENMD1,315460,4320031,39.74295739,17.46857133
VOSSCOLVA1,302186,4308846,61.96467333,9.790757508
WALKPATVA1,297546,4284866,26.43494554,25.76488187
WAPLMILVA1,296664,4305640,12.5665147,13.2690161
WARDDOUVA1,318802,4305985,15.645433,39.20219137
WATSPATDC1,321132,4315049,37.8348554,12.43083404
WHITLAUDC1,319062,4289383,76.12255829,2.071186727
WIEBFRAMD1,325387,4316178,63.72725889,9.031746772
WIKACORMD1,371417,4318796,80.32010858,2.108181542
WILDANNVA1,318039,4307672,23.67714323,20.03061593
WILELINMD1,395012,4314101,21.94310089,7.756472862
WILLCYNVA1,308037,4305505,16.48897813,36.5838763
WILLRAJMD1,370543,4314424,11.59639976,18.15754291
WILLTERMD1,333777,4310764,27.76305275,36.48290231
WILLTINVA1,296011,4295755,89.39358553,1.37207037
WISECELMD1,324157,4326483,26.60012382,17.18003939
WOLFAMYDC1,322882,4309712,0,81.0325006
WOLFKARDC1,321362,4312346,5.221931933,48.63064262
WOODELEVA1,313262,4306728,29.66368573,27.4369963
WOODPAUVA1,300855,4301606,67.92688808,3.128758988
WRIGVENMD1,335027,4287569,84.54341812,0.246471524
YOUNELIMD1,319157,4326554,16.59273319,23.60977046
YOUNKIMVA1,301742,4291065,60.70936551,16.44915423
ZAMBTRAMD1,320270,4316913,38.9206214,17.42568587
NE1,324785,4310102,0.713584126,54.97723083
NE3,325240,4309378,0.025320716,70.03497821
NE4,323566,4310455,0.053871514,73.51543387
NE5,328943,4311911,11.02960935,49.18114505
NE6,327663,4311802,14.18855195,43.35162323
NE7,325760,4311030,2.18939262,33.13610016
NW1,320222,4321893,0.012140802,77.88149013
NW2,317522,4323750,0,83.20708726
NW3,318770,4316747,0.072312927,76.70610114
NW4,319011,4314765,2.077992339,57.04217453